username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,,,,,,
waquar__ahmed,05/05/2020 08:54:00,0,0,@thepeeinghuman @RanaAyyub @varungrover @anubhavsinha @Mdzeeshanayyub @ReallySwara @UmarKhalidJNU I request u all to take a initative to raise funds for migrant workers train fairs . This could help them Please do it.. #BeatTheVirus #AarogyaSetu #AirForce,,@thepeeinghuman @RanaAyyub @varungrover @anubhavsinha @Mdzeeshanayyub @ReallySwara @UmarKhalidJNU,#BeatTheVirus #AarogyaSetu #AirForceSalutes,1.25745E+18,https://twitter.com/waquar__ahmed/status/1257450978091110405,,,,,,,
BeginsWithWhy,05/05/2020 08:46:00,0,0,Over and out,,,,,,,,,,,,
iAvimanyu,05/05/2020 07:02:00,0,0,"That's exactly what Decentralized Privacy-Preserving Proximity Tracing"" ensures",,,,,,,,,,,,
ShreyNarang,05/05/2020 06:40:00,0,0,Hehe @rsprasad #AarogyaSetu Dead Now Eh? https:// twitter.com/Reuters/status /1257364692353384454 …,,@rsprasad,#AarogyaSetu,1.25742E+18,https://twitter.com/ShreyNarang/status/1257417375231639556,,,,,,,
SumeetGuptaBJP,05/05/2020 06:17:00,0,0,Bhaiya USA mein network issue hoga @SetuAarogya app ke liye. India mein to first class chal rahi hai. #AarogyaSetu,,@SetuAarogya,#AarogyaSetu,1.25741E+18,https://twitter.com/SumeetGuptaBJP/status/1257411511414190080,,,,,,,
joegadgetsman,05/05/2020 06:11:00,2,2,"Excuse For Surveillance State..."": Shashi Tharoor On Aarogya Setu https://www. ndtv.com/india-news/sha shi-tharoor-on-aarogya-setu-app-excuse-for-surveillance-state-2223182 … #aarogyasetu""",,,#aarogyasetu,1.25741E+18,https://twitter.com/joegadgetsman/status/1257410148315860993,,,,,,,
PidathalaSagar,05/05/2020 06:09:00,1,7,Technology is available how far are we using it ? You have created app #AarogyaSetu in this difficult times .why can't we have an app for all those who are trying to reach homes ! Just a thought not an idea. #COVIDー19 #IndiaFightsCorona .,,,#AarogyaSetu #COVID #IndiaFightsCorona,1.25741E+18,https://twitter.com/PidathalaSagar/status/1257409515084845056,,,,,,,
atlas7io,05/05/2020 05:56:00,0,0,"Excuse For Surveillance State..."": Shashi Tharoor On Aarogya Setu https://www. ndtv.com/india-news/sha shi-tharoor-on-aarogya-setu-app-excuse-for-surveillance-state-2223182 … #aarogyasetu""",,,#aarogyasetu,1.25741E+18,https://twitter.com/atlas7io/status/1257406358774861825,,,,,,,
Arogyasetu,05/05/2020 04:54:00,1,2,The #AarogyaSetuApp has an informative and updated dashboard that gives relevant information for every geographic area. #IndiaFightsCorona With #AarogyaSetu ,,,,,,,,,,,,
Arogyasetu,05/05/2020 04:51:00,0,1,The #arogyasetuapp has an informative and updated dashboard that gives relevant information for every geographic area of the country. #IndiaFightsCorona With #AarogyaSetu ,,,,,,,,,,,,
